symbol,company,cik,edgar_name,method,confidence,note
RHT,Red Hat Inc.,0001087423,RED HAT INC,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: RED HAT INC (CIK 0001087423): sic=Services-Computer Programming, Data Processing, Etc., dereg_evidence=True, n_recent_filings=1002 | Red Hat Inc (CIK 0001367535): sic=, dereg_evidence=False, n_recent_filings=0"
RMG,Cablevision Systems Corp.,0001053112,CABLEVISION SYSTEMS CORP /NY,edgar_company_search,high,Exact EDGAR name match (state suffix /NY normalized); applies to both duplicate input rows for RMG.
RMG,Cablevision Systems Corp.,0001053112,CABLEVISION SYSTEMS CORP /NY,edgar_company_search,high,Exact EDGAR name match (state suffix /NY normalized); applies to both duplicate input rows for RMG.
ROH,Rohm & Hass Co,0000084792,ROHM & HAAS CO,edgar_company_search,high,Exact EDGAR name match (EDGAR uses '&' rather than 'and').
RSH,RadioShack Corp.,0000096289,RS Legacy Corp,edgar_company_search,high,"RadioShack Corp is the same continuous SEC registrant (former name RADIOSHACK CORP confirmed via submissions.json through 2015-06-12), renamed RS Legacy Corp after its 2015 bankruptcy."
RTN,Raytheon Co.,0000082267,RAYTHEON CO,edgar_company_search,high,unique exact EDGAR name match
SAF,Saratoga Investment Corp 6.25%,,,manual_web,,"DATA QUALITY FLAG: the 'company' value supplied for this symbol ('Saratoga Investment Corp 6.25%') is itself the CURRENT-day FMP profile/ticker-reuse name (an ETF or debt instrument), not a plausible historical S&P 500 constituent name -- it appears the input file's historical-name join failed for this symbol and fell back to today's ticker meaning, which the task instructions explicitly say not to use. Left unresolved rather than guessing; the true historical S&P 500 constituent for this symbol/ticker needs to be identified from the S&P 500 change-history source before a CIK can be looked up."
SBL,Symbol Technologies Inc,0000278352,SYMBOL TECHNOLOGIES INC,edgar_company_search,high,unique exact EDGAR name match
SCG,SCANA Corp.,0000754737,SCANA CORP,edgar_company_search,high,unique exact EDGAR name match
SEBL,Siebel Systems Inc.,0001006835,SIEBEL SYSTEMS INC,edgar_company_search,high,unique exact EDGAR name match
SFA,,,,manual_web,,No historical company name provided in the input CSV for this symbol; cannot resolve a CIK by company name without violating the do-not-use-current-ticker-meaning instruction. Needs manual sourcing of the true historical S&P 500 constituent name for this symbol before a CIK can be resolved.
SIAL,,,,manual_web,,No historical company name provided in the input CSV for this symbol; cannot resolve a CIK by company name without violating the do-not-use-current-ticker-meaning instruction. Needs manual sourcing of the true historical S&P 500 constituent name for this symbol before a CIK can be resolved.
SLR,Solectron Corp.,0000835541,SOLECTRON CORP,edgar_company_search,high,unique exact EDGAR name match
SNI,Scripps Networks Interactive Inc,0001430602,"Scripps Networks Interactive, Inc.",edgar_company_search,high,unique exact EDGAR name match
SUNEQ,SunEdison Inc,0000945436,"SUNEDISON, INC.",edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: SunEdison Holdings Corp (CIK 0001523224): sic=, dereg_evidence=False, n_recent_filings=12 | SUNEDISON, INC. (CIK 0000945436): sic=Semiconductors & Related Devices, dereg_evidence=True, n_recent_filings=1001"
SWY,Safeway Inc.,0000086144,SAFEWAY INC,edgar_company_search,high,unique exact EDGAR name match
TEG,Integrys Energy Group,0000916863,"INTEGRYS HOLDING, INC.",edgar_company_search,high,"Integrys Energy Group Inc is the same continuous SEC registrant (former name INTEGRYS ENERGY GROUP, INC. confirmed via submissions.json through 2015-06-29), renamed Integrys Holding Inc after Wisconsin Energy (WEC Energy Group) acquired Integrys in 2015."
TIE,Titanium Metal Corp,0001011657,TITANIUM METALS CORP,edgar_company_search,high,Exact EDGAR name match (Titanium Metal Corp / Titanium Metals Corp).
TIF,Tiffany & Co,0000098246,TIFFANY & CO,edgar_company_search,high,matched among 2 EDGAR search results
TIN,,,,manual_web,,No historical company name provided in the input CSV for this symbol; cannot resolve a CIK by company name without violating the do-not-use-current-ticker-meaning instruction. Needs manual sourcing of the true historical S&P 500 constituent name for this symbol before a CIK can be resolved.
TLAB,Tellabs Inc.,0000317771,TELLABS INC,edgar_company_search,high,unique exact EDGAR name match
TOY,"Toys ""R"" Us, Inc.",0001005414,TOYS R US INC,edgar_company_search,high,unique exact EDGAR name match
TRCO,Tribune Media Co,0000726513,TRIBUNE MEDIA CO,edgar_company_search,high,unique exact EDGAR name match
TSG,Sabre Holdings Corp,0001597033,Sabre Corp,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: Sabre Corp (CIK 0001597033): sic=Services-Computer Programming, Data Processing, Etc., dereg_evidence=True, n_recent_filings=1000 | SABRE HOLDINGS CORP (CIK 0001020265): sic=Transportation Services, dereg_evidence=True, n_recent_filings=988 | SABRE INC (CIK 0001186199): sic=, dereg_evidence=False, n_recent_filings=3"
TSS,Total System Services Inc,0000721683,TOTAL SYSTEM SERVICES INC,edgar_company_search,high,unique exact EDGAR name match
TWC,Time Warner Cable Inc.,0001377013,"SPECTRUM MANAGEMENT HOLDING COMPANY, LLC",edgar_company_search,high,"Time Warner Cable Inc is the same continuous SEC registrant (former name TIME WARNER CABLE INC. confirmed via submissions.json through 2016-06-01), renamed Spectrum Management Holding Company LLC after Charter Communications acquired TWC in 2016."
TXU,TXU Gas Co.,0000033015,TXU GAS CO,edgar_company_search,high,unique exact EDGAR name match
TYC,Tyco International,0000100441,TYCO INTERNATIONAL LTD,edgar_company_search,high,matched among 5 EDGAR search results
UVN,Univision Comm Inc,0001017008,UNIVISION COMMUNICATIONS INC,edgar_company_search,high,Exact EDGAR name match (Univision Comm Inc = Univision Communications Inc).
VAR,Varian Medical Systems Inc,0000203527,VARIAN MEDICAL SYSTEMS INC,edgar_company_search,high,unique exact EDGAR name match
VIAB,Viacom Inc.,0001339947,Viacom Inc.,edgar_company_search,high,unique exact EDGAR name match
WCG,WellCare Health Plans Inc,0001279363,"WELLCARE HEALTH PLANS, INC.",edgar_company_search,high,unique exact EDGAR name match
WFT,Weatherford Int'l plc,0001170565,WEATHERFORD INTERNATIONAL LTD,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: WEATHERFORD INTERNATIONAL LTD (CIK 0001170565): sic=Drilling Oil & Gas Wells, dereg_evidence=True, n_recent_filings=1000 | Weatherford International plc (CIK 0001603923): sic=Oil & Gas Field Machinery & Equipment, dereg_evidence=True, n_recent_filings=1000"
WIN,Windstream Holdings Inc,0001282266,"WINDSTREAM HOLDINGS, INC.",edgar_company_search,high,unique exact EDGAR name match
WPX,WPX Energy Inc,0001518832,"WPX ENERGY, INC.",edgar_company_search,high,unique exact EDGAR name match
WWY,Wrigley Co.,0000108601,WRIGLEY WM JR CO,edgar_company_search,high,Exact EDGAR name match (Wm. Wrigley Jr. Company).
WYE,Wyeth Corp.,0000005187,WYETH,edgar_company_search,high,unique exact EDGAR name match
WYND,Wyndham Destinations Inc,0001361658,Travel & Leisure Co.,edgar_company_search,high,"Wyndham Destinations Inc is the same continuous SEC registrant (former names Wyndham Destinations, Inc. 2018-2021 and WYNDHAM WORLDWIDE CORP 2006-2018 confirmed via submissions.json), renamed Travel & Leisure Co. in 2021."
XEC,Cimarex Energy Co,0001168054,CIMAREX ENERGY CO,edgar_company_search,high,matched among 2 EDGAR search results
XTO,XTO Energy Inc.,0000868809,XTO ENERGY INC,edgar_company_search,high,unique exact EDGAR name match
YHOO,Yahoo! Inc,0001011006,ALTABA INC.,edgar_company_search,high,"Yahoo! Inc is the same continuous SEC registrant (former name YAHOO INC confirmed via submissions.json through 2017-06-15), renamed Altaba Inc after Yahoo sold its operating business to Verizon in 2017. (A separate, unrelated empty-shell CIK 0001426140 also literally named 'YAHOO INC' exists with zero filings and was rejected.)"
